"sitename","means","country"
"ARM-NSA-Barrow",-0.0549974713392083,"USA"
"Attawapiskat River Bog",-0.0700900102951549,"Canada"
"Attawapiskat River Fen",-0.0693668652502226,"Canada"
"Chersky, control",-0.0648247213861177,"Russia"
"Chokurdakh/Kytalyk",-0.0625631099407544,"Russia"
"Faejemyr",-0.0533898298429221,"Sweden"
"Fyodorovskoye",-0.0517257574972822,"Russia"
"Fyodorovskoye dry spruce",-0.0572746832674074,"Russia"
"Ivotuk",-0.0589873473386357,"USA"
"Lompolojankka",-0.0634866663543087,"Finland"
"Samoylov, terrace",-0.0754153086657063,"Russia"
"Stordalen Grassland Mire",-0.0575778672772601,"Sweden"
"Thermokarst Collapse Scar Bog, Interior Alaska",-0.0561791156040423,"USA"
"Tiksi",-0.0747559573841035,"Russia"
